<<<<<<< HEAD
Ticker,Company Name,Fiscal Quarter,Datetime,Date,Time,Hour,Close,Earnings Date,Earnings Timing,Base Price,Hours From Earnings,Trading Day,Return From Earnings (%)
BL,"BlackLine, Inc.",Q3 FY25,2025-11-10 13:30:00,2025-11-10,13:30,13,54.47,2025-11-06,AMC,56.81,94.0,2,-4.12
BL,"BlackLine, Inc.",Q3 FY25,2025-11-10 14:30:00,2025-11-10,14:30,14,55.0,2025-11-06,AMC,56.81,95.0,2,-3.19
BL,"BlackLine, Inc.",Q3 FY25,2025-11-10 15:30:00,2025-11-10,15:30,15,54.46,2025-11-06,AMC,56.81,96.0,2,-4.14
BL,"BlackLine, Inc.",Q3 FY25,2025-11-11 09:30:00,2025-11-11,09:30,9,55.4,2025-11-06,AMC,56.81,114.0,3,-2.47
BL,"BlackLine, Inc.",Q3 FY25,2025-11-11 10:30:00,2025-11-11,10:30,10,54.92,2025-11-06,AMC,56.81,115.0,3,-3.32
BL,"BlackLine, Inc.",Q3 FY25,2025-11-11 11:30:00,2025-11-11,11:30,11,54.88,2025-11-06,AMC,56.81,116.0,3,-3.39
BL,"BlackLine, Inc.",Q3 FY25,2025-11-11 12:30:00,2025-11-11,12:30,12,54.96,2025-11-06,AMC,56.81,117.0,3,-3.27
BL,"BlackLine, Inc.",Q3 FY25,2025-11-11 13:30:00,2025-11-11,13:30,13,55.02,2025-11-06,AMC,56.81,118.0,3,-3.15
BL,"BlackLine, Inc.",Q3 FY25,2025-11-11 14:30:00,2025-11-11,14:30,14,54.97,2025-11-06,AMC,56.81,119.0,3,-3.23
BL,"BlackLine, Inc.",Q3 FY25,2025-11-11 15:30:00,2025-11-11,15:30,15,55.23,2025-11-06,AMC,56.81,120.0,3,-2.78
BL,"BlackLine, Inc.",Q3 FY25,2025-11-12 09:30:00,2025-11-12,09:30,9,56.1,2025-11-06,AMC,56.81,138.0,4,-1.25
BL,"BlackLine, Inc.",Q3 FY25,2025-11-12 10:30:00,2025-11-12,10:30,10,55.89,2025-11-06,AMC,56.81,139.0,4,-1.62
BL,"BlackLine, Inc.",Q3 FY25,2025-11-12 11:30:00,2025-11-12,11:30,11,56.22,2025-11-06,AMC,56.81,140.0,4,-1.05
BL,"BlackLine, Inc.",Q3 FY25,2025-11-12 12:30:00,2025-11-12,12:30,12,55.94,2025-11-06,AMC,56.81,141.0,4,-1.52
BL,"BlackLine, Inc.",Q3 FY25,2025-11-12 13:30:00,2025-11-12,13:30,13,55.95,2025-11-06,AMC,56.81,142.0,4,-1.51
BL,"BlackLine, Inc.",Q3 FY25,2025-11-12 14:30:00,2025-11-12,14:30,14,56.55,2025-11-06,AMC,56.81,143.0,4,-0.46
BL,"BlackLine, Inc.",Q3 FY25,2025-11-12 15:30:00,2025-11-12,15:30,15,56.11,2025-11-06,AMC,56.81,144.0,4,-1.23
BL,"BlackLine, Inc.",Q3 FY25,2025-11-13 09:30:00,2025-11-13,09:30,9,55.72,2025-11-06,AMC,56.81,162.0,5,-1.93
BL,"BlackLine, Inc.",Q3 FY25,2025-11-13 10:30:00,2025-11-13,10:30,10,55.6,2025-11-06,AMC,56.81,163.0,5,-2.13
BL,"BlackLine, Inc.",Q3 FY25,2025-11-13 11:30:00,2025-11-13,11:30,11,55.38,2025-11-06,AMC,56.81,164.0,5,-2.51
BL,"BlackLine, Inc.",Q3 FY25,2025-11-13 12:30:00,2025-11-13,12:30,12,55.27,2025-11-06,AMC,56.81,165.0,5,-2.71
BL,"BlackLine, Inc.",Q3 FY25,2025-11-13 13:30:00,2025-11-13,13:30,13,55.35,2025-11-06,AMC,56.81,166.0,5,-2.58
BL,"BlackLine, Inc.",Q3 FY25,2025-11-13 14:30:00,2025-11-13,14:30,14,55.28,2025-11-06,AMC,56.81,167.0,5,-2.69
BL,"BlackLine, Inc.",Q3 FY25,2025-11-13 15:30:00,2025-11-13,15:30,15,55.48,2025-11-06,AMC,56.81,168.0,5,-2.34
BLD,TopBuild Corp.,Q3 FY25,2025-11-04 09:30:00,2025-11-04,09:30,9,414.33,2025-11-04,BMO,422.5,18.0,1,-1.93
BLD,TopBuild Corp.,Q3 FY25,2025-11-04 10:30:00,2025-11-04,10:30,10,412.9,2025-11-04,BMO,422.5,19.0,1,-2.27
BLD,TopBuild Corp.,Q3 FY25,2025-11-04 11:30:00,2025-11-04,11:30,11,416.87,2025-11-04,BMO,422.5,20.0,1,-1.33
BLD,TopBuild Corp.,Q3 FY25,2025-11-04 12:30:00,2025-11-04,12:30,12,418.42,2025-11-04,BMO,422.5,21.0,1,-0.96
BLD,TopBuild Corp.,Q3 FY25,2025-11-04 13:30:00,2025-11-04,13:30,13,417.67,2025-11-04,BMO,422.5,22.0,1,-1.14
BLD,TopBuild Corp.,Q3 FY25,2025-11-04 14:30:00,2025-11-04,14:30,14,420.52,2025-11-04,BMO,422.5,23.0,1,-0.47
BLD,TopBuild Corp.,Q3 FY25,2025-11-04 15:30:00,2025-11-04,15:30,15,418.62,2025-11-04,BMO,422.5,24.0,1,-0.92
BLD,TopBuild Corp.,Q3 FY25,2025-11-05 09:30:00,2025-11-05,09:30,9,421.64,2025-11-04,BMO,422.5,42.0,2,-0.2
BLD,TopBuild Corp.,Q3 FY25,2025-11-05 10:30:00,2025-11-05,10:30,10,408.03,2025-11-04,BMO,422.5,43.0,2,-3.42
BLD,TopBuild Corp.,Q3 FY25,2025-11-05 11:30:00,2025-11-05,11:30,11,412.24,2025-11-04,BMO,422.5,44.0,2,-2.43
BLD,TopBuild Corp.,Q3 FY25,2025-11-05 12:30:00,2025-11-05,12:30,12,410.92,2025-11-04,BMO,422.5,45.0,2,-2.74
BLD,TopBuild Corp.,Q3 FY25,2025-11-05 13:30:00,2025-11-05,13:30,13,404.61,2025-11-04,BMO,422.5,46.0,2,-4.23
BLD,TopBuild Corp.,Q3 FY25,2025-11-05 14:30:00,2025-11-05,14:30,14,406.7,2025-11-04,BMO,422.5,47.0,2,-3.74
BLD,TopBuild Corp.,Q3 FY25,2025-11-05 15:30:00,2025-11-05,15:30,15,405.82,2025-11-04,BMO,422.5,48.0,2,-3.95
BLD,TopBuild Corp.,Q3 FY25,2025-11-06 09:30:00,2025-11-06,09:30,9,405.12,2025-11-04,BMO,422.5,66.0,3,-4.11
BLD,TopBuild Corp.,Q3 FY25,2025-11-06 10:30:00,2025-11-06,10:30,10,400.3,2025-11-04,BMO,422.5,67.0,3,-5.25
BLD,TopBuild Corp.,Q3 FY25,2025-11-06 11:30:00,2025-11-06,11:30,11,400.64,2025-11-04,BMO,422.5,68.0,3,-5.17
BLD,TopBuild Corp.,Q3 FY25,2025-11-06 12:30:00,2025-11-06,12:30,12,399.33,2025-11-04,BMO,422.5,69.0,3,-5.49
BLD,TopBuild Corp.,Q3 FY25,2025-11-06 13:30:00,2025-11-06,13:30,13,400.0,2025-11-04,BMO,422.5,70.0,3,-5.33
BLD,TopBuild Corp.,Q3 FY25,2025-11-06 14:30:00,2025-11-06,14:30,14,402.98,2025-11-04,BMO,422.5,71.0,3,-4.62
BLD,TopBuild Corp.,Q3 FY25,2025-11-06 15:30:00,2025-11-06,15:30,15,405.83,2025-11-04,BMO,422.5,72.0,3,-3.95
BLD,TopBuild Corp.,Q3 FY25,2025-11-07 09:30:00,2025-11-07,09:30,9,405.0,2025-11-04,BMO,422.5,90.0,4,-4.14
BLD,TopBuild Corp.,Q3 FY25,2025-11-07 10:30:00,2025-11-07,10:30,10,410.51,2025-11-04,BMO,422.5,91.0,4,-2.84
BLD,TopBuild Corp.,Q3 FY25,2025-11-07 11:30:00,2025-11-07,11:30,11,409.49,2025-11-04,BMO,422.5,92.0,4,-3.08
BLD,TopBuild Corp.,Q3 FY25,2025-11-07 12:30:00,2025-11-07,12:30,12,408.68,2025-11-04,BMO,422.5,93.0,4,-3.27
BLD,TopBuild Corp.,Q3 FY25,2025-11-07 13:30:00,2025-11-07,13:30,13,413.61,2025-11-04,BMO,422.5,94.0,4,-2.1
BLD,TopBuild Corp.,Q3 FY25,2025-11-07 14:30:00,2025-11-07,14:30,14,418.32,2025-11-04,BMO,422.5,95.0,4,-0.99
BLD,TopBuild Corp.,Q3 FY25,2025-11-07 15:30:00,2025-11-07,15:30,15,422.6,2025-11-04,BMO,422.5,96.0,4,0.02
BLD,TopBuild Corp.,Q3 FY25,2025-11-10 09:30:00,2025-11-10,09:30,9,426.28,2025-11-04,BMO,422.5,162.0,5,0.89
BLD,TopBuild Corp.,Q3 FY25,2025-11-10 10:30:00,2025-11-10,10:30,10,427.47,2025-11-04,BMO,422.5,163.0,5,1.18
BLD,TopBuild Corp.,Q3 FY25,2025-11-10 11:30:00,2025-11-10,11:30,11,429.12,2025-11-04,BMO,422.5,164.0,5,1.57
BLD,TopBuild Corp.,Q3 FY25,2025-11-10 12:30:00,2025-11-10,12:30,12,429.76,2025-11-04,BMO,422.5,165.0,5,1.72
BLD,TopBuild Corp.,Q3 FY25,2025-11-10 13:30:00,2025-11-10,13:30,13,431.3,2025-11-04,BMO,422.5,166.0,5,2.08
BLD,TopBuild Corp.,Q3 FY25,2025-11-10 14:30:00,2025-11-10,14:30,14,431.98,2025-11-04,BMO,422.5,167.0,5,2.24
BLD,TopBuild Corp.,Q3 FY25,2025-11-10 15:30:00,2025-11-10,15:30,15,433.76,2025-11-04,BMO,422.5,168.0,5,2.67
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-15 09:30:00,2026-01-15,09:30,9,1146.38,2026-01-15,BMO,1092.6,18.0,1,4.92
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-15 10:30:00,2026-01-15,10:30,10,1145.4,2026-01-15,BMO,1092.6,19.0,1,4.83
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-15 11:30:00,2026-01-15,11:30,11,1144.63,2026-01-15,BMO,1092.6,20.0,1,4.76
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-15 12:30:00,2026-01-15,12:30,12,1152.59,2026-01-15,BMO,1092.6,21.0,1,5.49
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-15 13:30:00,2026-01-15,13:30,13,1158.98,2026-01-15,BMO,1092.6,22.0,1,6.08
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-15 14:30:00,2026-01-15,14:30,14,1157.14,2026-01-15,BMO,1092.6,23.0,1,5.91
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-15 15:30:00,2026-01-15,15:30,15,1156.9,2026-01-15,BMO,1092.6,24.0,1,5.89
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-16 09:30:00,2026-01-16,09:30,9,1174.57,2026-01-15,BMO,1092.6,42.0,2,7.5
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-16 10:30:00,2026-01-16,10:30,10,1176.93,2026-01-15,BMO,1092.6,43.0,2,7.72
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-16 11:30:00,2026-01-16,11:30,11,1170.42,2026-01-15,BMO,1092.6,44.0,2,7.12
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-16 12:30:00,2026-01-16,12:30,12,1172.52,2026-01-15,BMO,1092.6,45.0,2,7.31
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-16 13:30:00,2026-01-16,13:30,13,1169.04,2026-01-15,BMO,1092.6,46.0,2,7.0
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-16 14:30:00,2026-01-16,14:30,14,1163.23,2026-01-15,BMO,1092.6,47.0,2,6.46
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-16 15:30:00,2026-01-16,15:30,15,1162.46,2026-01-15,BMO,1092.6,48.0,2,6.39
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-20 09:30:00,2026-01-20,09:30,9,1144.56,2026-01-15,BMO,1092.6,138.0,3,4.76
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-20 10:30:00,2026-01-20,10:30,10,1132.16,2026-01-15,BMO,1092.6,139.0,3,3.62
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-20 11:30:00,2026-01-20,11:30,11,1127.93,2026-01-15,BMO,1092.6,140.0,3,3.23
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-20 12:30:00,2026-01-20,12:30,12,1117.06,2026-01-15,BMO,1092.6,141.0,3,2.24
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-20 13:30:00,2026-01-20,13:30,13,1111.0,2026-01-15,BMO,1092.6,142.0,3,1.68
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-20 14:30:00,2026-01-20,14:30,14,1110.36,2026-01-15,BMO,1092.6,143.0,3,1.63
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-20 15:30:00,2026-01-20,15:30,15,1110.33,2026-01-15,BMO,1092.6,144.0,3,1.62
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-21 09:30:00,2026-01-21,09:30,9,1125.6,2026-01-15,BMO,1092.6,162.0,4,3.02
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-21 10:30:00,2026-01-21,10:30,10,1126.6,2026-01-15,BMO,1092.6,163.0,4,3.11
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-21 11:30:00,2026-01-21,11:30,11,1119.98,2026-01-15,BMO,1092.6,164.0,4,2.51
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-21 12:30:00,2026-01-21,12:30,12,1119.43,2026-01-15,BMO,1092.6,165.0,4,2.46
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-21 13:30:00,2026-01-21,13:30,13,1128.06,2026-01-15,BMO,1092.6,166.0,4,3.25
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-21 14:30:00,2026-01-21,14:30,14,1130.36,2026-01-15,BMO,1092.6,167.0,4,3.46
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-21 15:30:00,2026-01-21,15:30,15,1127.93,2026-01-15,BMO,1092.6,168.0,4,3.23
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-22 09:30:00,2026-01-22,09:30,9,1140.96,2026-01-15,BMO,1092.6,186.0,5,4.43
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-22 10:30:00,2026-01-22,10:30,10,1144.22,2026-01-15,BMO,1092.6,187.0,5,4.72
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-22 11:30:00,2026-01-22,11:30,11,1145.88,2026-01-15,BMO,1092.6,188.0,5,4.88
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-22 12:30:00,2026-01-22,12:30,12,1141.08,2026-01-15,BMO,1092.6,189.0,5,4.44
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-22 13:30:00,2026-01-22,13:30,13,1139.93,2026-01-15,BMO,1092.6,190.0,5,4.33
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-22 14:30:00,2026-01-22,14:30,14,1139.79,2026-01-15,BMO,1092.6,191.0,5,4.32
BLK,"BlackRock, Inc.",Q4 FY25,2026-01-22 15:30:00,2026-01-22,15:30,15,1139.43,2026-01-15,BMO,1092.6,192.0,5,4.29
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",,2026-02-13 09:30:00,2026-02-13,09:30,9,49.99,2026-02-12,AMC,49.79,18.0,1,0.4
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",,2026-02-13 10:30:00,2026-02-13,10:30,10,50.92,2026-02-12,AMC,49.79,19.0,1,2.26
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",,2026-02-13 11:30:00,2026-02-13,11:30,11,50.85,2026-02-12,AMC,49.79,20.0,1,2.12
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",,2026-02-13 12:30:00,2026-02-13,12:30,12,51.02,2026-02-12,AMC,49.79,21.0,1,2.47
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",,2026-02-13 13:30:00,2026-02-13,13:30,13,51.0,2026-02-12,AMC,49.79,22.0,1,2.43
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",,2026-02-13 14:30:00,2026-02-13,14:30,14,51.36,2026-02-12,AMC,49.79,23.0,1,3.15
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",,2026-02-13 15:30:00,2026-02-13,15:30,15,51.22,2026-02-12,AMC,49.79,24.0,1,2.87
BN,Brookfield Corporation,Q3 FY25,2025-11-13 09:30:00,2025-11-13,09:30,9,44.46,2025-11-13,BMO,46.88,18.0,1,-5.16
BN,Brookfield Corporation,Q3 FY25,2025-11-13 10:30:00,2025-11-13,10:30,10,43.78,2025-11-13,BMO,46.88,19.0,1,-6.61
BN,Brookfield Corporation,Q3 FY25,2025-11-13 11:30:00,2025-11-13,11:30,11,43.47,2025-11-13,BMO,46.88,20.0,1,-7.27
BN,Brookfield Corporation,Q3 FY25,2025-11-13 12:30:00,2025-11-13,12:30,12,43.36,2025-11-13,BMO,46.88,21.0,1,-7.51
BN,Brookfield Corporation,Q3 FY25,2025-11-13 13:30:00,2025-11-13,13:30,13,43.44,2025-11-13,BMO,46.88,22.0,1,-7.34
BN,Brookfield Corporation,Q3 FY25,2025-11-13 14:30:00,2025-11-13,14:30,14,43.47,2025-11-13,BMO,46.88,23.0,1,-7.27
BN,Brookfield Corporation,Q3 FY25,2025-11-13 15:30:00,2025-11-13,15:30,15,43.78,2025-11-13,BMO,46.88,24.0,1,-6.61
BN,Brookfield Corporation,Q3 FY25,2025-11-14 09:30:00,2025-11-14,09:30,9,43.67,2025-11-13,BMO,46.88,42.0,2,-6.85
BN,Brookfield Corporation,Q3 FY25,2025-11-14 10:30:00,2025-11-14,10:30,10,44.01,2025-11-13,BMO,46.88,43.0,2,-6.12
BN,Brookfield Corporation,Q3 FY25,2025-11-14 11:30:00,2025-11-14,11:30,11,43.65,2025-11-13,BMO,46.88,44.0,2,-6.89
BN,Brookfield Corporation,Q3 FY25,2025-11-14 12:30:00,2025-11-14,12:30,12,43.83,2025-11-13,BMO,46.88,45.0,2,-6.5
BN,Brookfield Corporation,Q3 FY25,2025-11-14 13:30:00,2025-11-14,13:30,13,43.92,2025-11-13,BMO,46.88,46.0,2,-6.32
BN,Brookfield Corporation,Q3 FY25,2025-11-14 14:30:00,2025-11-14,14:30,14,43.81,2025-11-13,BMO,46.88,47.0,2,-6.54
BN,Brookfield Corporation,Q3 FY25,2025-11-14 15:30:00,2025-11-14,15:30,15,44.05,2025-11-13,BMO,46.88,48.0,2,-6.04
BN,Brookfield Corporation,Q3 FY25,2025-11-17 09:30:00,2025-11-17,09:30,9,43.76,2025-11-13,BMO,46.88,114.0,3,-6.67
BN,Brookfield Corporation,Q3 FY25,2025-11-17 10:30:00,2025-11-17,10:30,10,43.71,2025-11-13,BMO,46.88,115.0,3,-6.76
BN,Brookfield Corporation,Q3 FY25,2025-11-17 11:30:00,2025-11-17,11:30,11,43.65,2025-11-13,BMO,46.88,116.0,3,-6.89
BN,Brookfield Corporation,Q3 FY25,2025-11-17 12:30:00,2025-11-17,12:30,12,43.67,2025-11-13,BMO,46.88,117.0,3,-6.85
BN,Brookfield Corporation,Q3 FY25,2025-11-17 13:30:00,2025-11-17,13:30,13,42.95,2025-11-13,BMO,46.88,118.0,3,-8.38
BN,Brookfield Corporation,Q3 FY25,2025-11-17 14:30:00,2025-11-17,14:30,14,42.67,2025-11-13,BMO,46.88,119.0,3,-8.99
BN,Brookfield Corporation,Q3 FY25,2025-11-17 15:30:00,2025-11-17,15:30,15,42.87,2025-11-13,BMO,46.88,120.0,3,-8.56
BN,Brookfield Corporation,Q3 FY25,2025-11-18 09:30:00,2025-11-18,09:30,9,42.24,2025-11-13,BMO,46.88,138.0,4,-9.9
